SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,3,24,20,31,3,1,0,1,0.31158,1,-1,-1,-1,0.13811,0.16772,0.18848,0
999,1,79,35,87,4,1,1,1,0.8537,1,-1,-1,-1,0.15472,0.18757,0.21869,0
999,2,43,25,91,4,0,0,0,0.29121,0,-1,-1,-1,0.14026,0.1725,0.20613,0
999,3,24,20,12,4,0,1,0,2.0894,0,-1,-1,-1,0.22943,0.24324,0.2617,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,70,52,52,3,1,0,1,1.9543,1,-1,-1,-1,0.12781,0.14297,0.15869,0
999,2,65,40,93,3,1,0,1,0.22313,1,-1,-1,-1,0.15097,0.16789,0.18417,0
999,3,81,60,87,3,1,2,1,0.27358,1,-1,-1,-1,0.14538,0.16143,0.17742,0
999,1,15,10,81,4,0,1,0,0.27596,0,-1,-1,-1,0.16159,0.17646,0.19049,0
999,2,45,38,35,4,0,1,0,0.11973,0,-1,-1,-1,0.18176,0.2158,0.24881,0
999,3,75,55,61,4,0,2,0,2.4538,0,-1,-1,-1,0.14704,0.17951,0.19667,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,47,40,36,3,0,0,1,0.70411,1,0.16983,0.18647,0.20402,-1,-1,-1,0
999,2,64,55,36,3,1,0,0,0.23979,0,0.16972,0.18567,0.2012,-1,-1,-1,0
999,3,98,99,99,3,0,1,1,0.2589,1,0.14494,0.15913,0.17634,-1,-1,-1,0
999,1,35,29,34,4,0,2,1,0.31489,1,0.1515,0.16741,0.20028,-1,-1,-1,0
999,2,64,55,50,4,1,0,0,0.28817,0,0.16896,0.18617,0.20253,-1,-1,-1,0
999,3,57,35,82,4,0,2,1,2.8129,1,0.34571,0.35976,0.37601,-1,-1,-1,0
